Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Rejected Reason,Transaction Time
ord1,,Rose,1,1,100,12.50,Invalid client order id,20260323-143433.689
ord2,C000002,,2,1,100,13.00,Invalid instrument,20260323-143433.690
ord3,C000003,Daisy,1,1,100,14.00,Invalid instrument,20260323-143433.690
ord4,C000004,Lavender,3,1,100,15.00,Invalid side,20260323-143433.690
ord5,C000005,Lotus,1,1,100,0.00,Invalid price,20260323-143433.690
ord6,C000006,Tulip,2,1,25,16.00,Invalid size,20260323-143433.690
ord7,C000007,Orchid,1,1,5,17.00,Invalid size,20260323-143433.690
ord8,C000008,Rose,2,1,1010,18.00,Invalid size,20260323-143433.691
ord9,C000009,Lotus,0,1,100,19.00,Invalid side,20260323-143433.691
ord10,C000010,Orchid,2,1,100,-1.00,Invalid price,20260323-143433.691
ord11,C000011,Daisy,1,1,500,10.25,Invalid instrument,20260323-143433.691
ord12,C000012,,,1,500,,Invalid instrument,20260323-143433.691
ord13,,,,1,,,Invalid client order id,20260323-143433.691
ord14,C000014,Rose,Buy,1,100,12.50,Invalid side,20260323-143433.691
ord15,C000015,Tulip,2,1,OneHundred,15.50,Invalid size,20260323-143433.691
ord16,C000016,Orchid,1,1,50,Free,Invalid price,20260323-143433.691
ord17,C000017,Lavender,2,1,-100,14.00,Invalid size,20260323-143433.691
ord18,C000018,Lotus,1,1,99999999999,10.00,Invalid size,20260323-143433.691
ord19,C000019,R@se!,1,1,100,12.50,Invalid instrument,20260323-143433.691
ord20,C000020,Daisy,1,1,100,12.50,Extra field,20260323-143433.691
ord21,,Orchid,2,1,,16.00,Invalid client order id,20260323-143433.691
ord22,C000022,Rose,1,1,100.5,12.50,Invalid size,20260323-143433.691
ord23,C000023,,,1,,,Invalid instrument,20260323-143433.691
ord25,C000025,Daisy,99,1,100,14.00,Invalid instrument,20260323-143433.691
